ID	ra_center	dec_center
0	3.657600	2.477700
1	1.342700	-2.479200
2	8.658700	2.476500
3	6.345600	-2.481000
4	13.658600	2.475700
5	11.348800	-2.483100
6	18.656800	2.475100
7	16.352100	-2.485400
8	23.653300	2.474600
9	21.355100	-2.487800
10	28.648200	2.474300
11	26.357700	-2.490300
12	33.641400	2.474000
13	31.359900	-2.492700
14	38.633300	2.473600
15	36.361800	-2.495000
16	43.624000	2.473100
17	41.363500	-2.497000
18	48.613800	2.472600
19	46.365300	-2.498800
20	53.603200	2.471900
21	51.367300	-2.500400
22	58.592300	2.471100
23	56.369900	-2.501700
24	63.581300	2.470300
25	61.373100	-2.502800
26	68.570600	2.469600
27	66.377200	-2.503700
28	73.560300	2.468900
29	71.382300	-2.504500
30	78.550300	2.468400
31	76.388300	-2.505100
32	83.540900	2.468200
33	81.395300	-2.505600
34	88.532000	2.468100
35	86.403100	-2.506000
36	93.523500	2.468400
37	91.411500	-2.506400
38	98.515500	2.469000
39	96.420400	-2.506800
40	103.507800	2.469800
41	101.429700	-2.507100
42	108.500600	2.470900
43	106.439000	-2.507400
44	113.493700	2.472300
45	111.448300	-2.507600
46	118.487300	2.473800
47	116.457300	-2.507700
48	123.481200	2.475500
49	121.466100	-2.507700
50	128.475600	2.477400
51	126.474500	-2.507600
52	133.470500	2.479300
53	131.482500	-2.507400
54	138.466000	2.481200
55	136.489900	-2.507000
56	143.462200	2.483100
57	141.497000	-2.506300
58	148.459300	2.485000
59	146.503600	-2.505500
60	153.457200	2.486900
61	151.509900	-2.504500
62	158.456100	2.488600
63	156.515800	-2.503300
64	163.456100	2.490400
65	161.521400	-2.501900
66	168.457100	2.492100
67	166.526700	-2.500400
68	173.459100	2.493800
69	171.531600	-2.498800
70	178.462100	2.495500
71	176.535900	-2.497100
72	183.465800	2.497200
73	181.539700	-2.495500
74	188.470200	2.498800
75	186.542600	-2.493800
76	193.475000	2.500400
77	191.544600	-2.492100
78	198.480300	2.502000
79	196.545600	-2.490400
80	203.485800	2.503400
81	201.545500	-2.488700
82	208.491700	2.504600
83	206.544400	-2.486900
84	213.497900	2.505600
85	211.542300	-2.485100
86	218.504400	2.506400
87	216.539200	-2.483200
88	223.511400	2.507100
89	221.535300	-2.481300
90	228.518800	2.507500
91	226.530800	-2.479400
92	233.526600	2.507800
93	231.525600	-2.477500
94	238.534900	2.507900
95	236.519800	-2.475700
96	243.543500	2.507900
97	241.513600	-2.474000
98	248.552500	2.507800
99	246.507000	-2.472400
100	253.561600	2.507600
101	251.500000	-2.471100
102	258.570800	2.507300
103	256.492700	-2.470000
104	263.579800	2.507000
105	261.484900	-2.469200
106	268.588600	2.506600
107	266.476700	-2.468600
108	273.596800	2.506200
109	271.468100	-2.468400
110	278.604500	2.505800
111	276.459000	-2.468400
112	283.611300	2.505200
113	281.449400	-2.468700
114	288.617100	2.504600
115	286.439300	-2.469100
116	293.622000	2.503900
117	291.428800	-2.469800
118	298.626000	2.503000
119	296.417900	-2.470500
120	303.629100	2.501900
121	301.406800	-2.471300
122	308.631500	2.500600
123	306.395800	-2.472100
124	313.633400	2.499000
125	311.385000	-2.472700
126	318.635100	2.497200
127	316.374700	-2.473300
128	323.636700	2.495100
129	321.365300	-2.473700
130	328.638500	2.492800
131	326.357100	-2.474100
132	333.640600	2.490400
133	331.350200	-2.474400
134	338.643100	2.487900
135	336.345000	-2.474700
136	343.646100	2.485400
137	341.341400	-2.475100
138	348.649300	2.483100
139	346.339600	-2.475700
140	353.652500	2.481000
141	351.339400	-2.476500
142	358.655400	2.479200
143	356.340500	-2.477700
144	2.425100	7.458500
145	2.638600	-7.457200
146	7.491500	7.461000
147	7.703200	-7.457100
148	12.558300	7.464400
149	12.766600	-7.458000
150	17.625400	7.468600
151	17.828500	-7.459800
152	22.692600	7.473300
153	22.889000	-7.462100
154	27.759900	7.478100
155	27.948000	-7.464700
156	32.827200	7.482800
157	33.005800	-7.467200
158	37.894900	7.487100
159	38.062700	-7.469500
160	42.963000	7.490800
161	43.118900	-7.471400
162	48.031800	7.493800
163	48.174800	-7.472800
164	53.101700	7.496100
165	53.230900	-7.473700
166	58.172900	7.497700
167	58.287400	-7.474000
168	63.245500	7.498700
169	63.344700	-7.473900
170	68.319800	7.499200
171	68.403000	-7.473500
172	73.395700	7.499300
173	73.462500	-7.473000
174	78.473200	7.499300
175	78.523300	-7.472500
176	83.552200	7.499200
177	83.585400	-7.472200
178	88.632500	7.499100
179	88.648600	-7.472100
180	93.713800	7.499100
181	93.713000	-7.472300
182	98.795900	7.499200
183	98.778400	-7.472900
184	103.878500	7.499400
185	103.844700	-7.473900
186	108.961400	7.499800
187	108.911700	-7.475100
188	114.044200	7.500200
189	113.979400	-7.476500
190	119.126900	7.500600
191	119.047600	-7.478200
192	124.209300	7.501000
193	124.116300	-7.479900
194	129.291100	7.501200
195	129.185500	-7.481700
196	134.372500	7.501300
197	134.255100	-7.483400
198	139.453300	7.501100
199	139.325300	-7.484900
200	144.533600	7.500500
201	144.396100	-7.486200
202	149.613500	7.499700
203	149.467600	-7.487300
204	154.693000	7.498600
205	154.539900	-7.488100
206	159.772200	7.497200
207	159.613200	-7.488800
208	164.851100	7.495700
209	164.687500	-7.489400
210	169.929700	7.494200
211	169.762800	-7.490000
212	175.008000	7.492800
213	174.839000	-7.490700
214	180.085700	7.491700
215	179.916100	-7.491700
216	185.162800	7.490800
217	184.993800	-7.492900
218	190.239000	7.490100
219	190.072100	-7.494300
220	195.314300	7.489500
221	195.150700	-7.495800
222	200.388500	7.489000
223	200.229600	-7.497400
224	205.461700	7.488300
225	205.308700	-7.498800
226	210.534000	7.487500
227	210.388100	-7.500000
228	215.605400	7.486500
229	215.467900	-7.500800
230	220.676100	7.485200
231	220.548100	-7.501400
232	225.746200	7.483800
233	225.628800	-7.501600
234	230.815700	7.482100
235	230.710100	-7.501600
236	235.884800	7.480400
237	235.791800	-7.501400
238	240.953300	7.478700
239	240.874100	-7.501100
240	246.021400	7.477100
241	245.956600	-7.500700
242	251.088900	7.475600
243	251.039300	-7.500300
244	256.155800	7.474400
245	256.122000	-7.500000
246	261.221900	7.473500
247	261.204400	-7.499700
248	266.287200	7.472900
249	266.286400	-7.499600
250	271.351400	7.472700
251	271.367500	-7.499600
252	276.414500	7.472800
253	276.447600	-7.499800
254	281.476400	7.473100
255	281.526500	-7.499900
256	286.537000	7.473600
257	286.603800	-7.499900
258	291.596300	7.474100
259	291.679500	-7.499800
260	296.654500	7.474400
261	296.753600	-7.499300
262	301.711600	7.474500
263	301.826100	-7.498300
264	306.768000	7.474200
265	306.897100	-7.496600
266	311.823900	7.473300
267	311.966900	-7.494300
268	316.879700	7.471900
269	317.035600	-7.491200
270	321.935800	7.469900
271	322.103600	-7.487500
272	326.992600	7.467600
273	327.171100	-7.483200
274	332.050300	7.465000
275	332.238400	-7.478400
276	337.109300	7.462300
277	337.305600	-7.473600
278	342.169600	7.460000
279	342.372700	-7.468800
280	347.231500	7.458200
281	347.439700	-7.464600
282	352.294800	7.457200
283	352.506600	-7.461100
284	357.359400	7.457300
285	357.573000	-7.458600
286	2.581200	12.446500
287	2.565700	-12.446600
288	7.729900	12.448300
289	7.714600	-12.448500
290	12.877500	12.451600
291	12.862600	-12.452000
292	18.023700	12.456100
293	18.009400	-12.456700
294	23.168100	12.461300
295	23.154500	-12.461900
296	28.310700	12.466600
297	28.297900	-12.467200
298	33.451700	12.471500
299	33.439700	-12.472100
300	38.591100	12.475500
301	38.580100	-12.476000
302	43.729500	12.478400
303	43.719400	-12.478900
304	48.867200	12.480000
305	48.858100	-12.480300
306	54.004700	12.480300
307	53.996600	-12.480500
308	59.142500	12.479500
309	59.135200	-12.479400
310	64.281000	12.477600
311	64.274500	-12.477300
312	69.420400	12.475000
313	69.414600	-12.474500
314	74.561000	12.472000
315	74.555800	-12.471200
316	79.702900	12.468900
317	79.698200	-12.467800
318	84.845900	12.465900
319	84.841600	-12.464600
320	89.990100	12.463300
321	89.985900	-12.461800
322	95.135000	12.461200
323	95.130900	-12.459500
324	100.280500	12.459700
325	100.276400	-12.457700
326	105.426300	12.458700
327	105.422000	-12.456600
328	110.572200	12.458300
329	110.567600	-12.456000
330	115.717800	12.458200
331	115.712800	-12.455800
332	120.863100	12.458500
333	120.857700	-12.456000
334	126.007900	12.458900
335	126.001900	-12.456500
336	131.152100	12.459300
337	131.145600	-12.456900
338	136.295700	12.459500
339	136.288600	-12.457200
340	141.438700	12.459400
341	141.431000	-12.457300
342	146.581200	12.458900
343	146.572900	-12.457000
344	151.723400	12.457900
345	151.714600	-12.456200
346	156.865400	12.456500
347	156.856200	-12.455100
348	162.007500	12.454900
349	161.998000	-12.453700
350	167.149700	12.453200
351	167.139900	-12.452400
352	172.292200	12.451800
353	172.282100	-12.451300
354	177.434700	12.451000
355	177.424600	-12.450900
356	182.577300	12.450900
357	182.567200	-12.451100
358	187.719800	12.451500
359	187.709700	-12.452000
360	192.862000	12.452600
361	192.852200	-12.453400
362	198.003900	12.454000
363	197.994400	-12.455100
364	203.145600	12.455400
365	203.136400	-12.456900
366	208.287100	12.456600
