ID	ra_center	dec_center
0	22.000000	-89.500000
1	51.428570	-88.363640
2	102.857140	-88.363640
3	154.285710	-88.363640
4	205.714290	-88.363640
5	257.142860	-88.363640
6	308.571430	-88.363640
7	27.692310	-86.727270
8	55.384620	-86.727270
9	83.076920	-86.727270
10	110.769230	-86.727270
11	138.461540	-86.727270
12	166.153850	-86.727270
13	193.846150	-86.727270
14	221.538460	-86.727270
15	249.230770	-86.727270
16	276.923080	-86.727270
17	304.615380	-86.727270
18	332.307690	-86.727270
19	18.000000	-85.090910
20	36.000000	-85.090910
21	54.000000	-85.090910
22	72.000000	-85.090910
23	90.000000	-85.090910
24	108.000000	-85.090910
25	126.000000	-85.090910
26	144.000000	-85.090910
27	162.000000	-85.090910
28	180.000000	-85.090910
29	198.000000	-85.090910
30	216.000000	-85.090910
31	234.000000	-85.090910
32	252.000000	-85.090910
33	270.000000	-85.090910
34	288.000000	-85.090910
35	306.000000	-85.090910
36	324.000000	-85.090910
37	342.000000	-85.090910
38	13.846150	-83.454550
39	27.692310	-83.454550
40	41.538460	-83.454550
41	55.384620	-83.454550
42	69.230770	-83.454550
43	83.076920	-83.454550
44	96.923080	-83.454550
45	110.769230	-83.454550
46	124.615380	-83.454550
47	138.461540	-83.454550
48	152.307690	-83.454550
49	166.153850	-83.454550
50	180.000000	-83.454550
51	193.846150	-83.454550
52	207.692310	-83.454550
53	221.538460	-83.454550
54	235.384620	-83.454550
55	249.230770	-83.454550
56	263.076920	-83.454550
57	276.923080	-83.454550
58	290.769230	-83.454550
59	304.615380	-83.454550
60	318.461540	-83.454550
61	332.307690	-83.454550
62	346.153850	-83.454550
63	11.250000	-81.818180
64	22.500000	-81.818180
65	33.750000	-81.818180
66	45.000000	-81.818180
67	56.250000	-81.818180
68	67.500000	-81.818180
69	78.750000	-81.818180
70	90.000000	-81.818180
71	101.250000	-81.818180
72	112.500000	-81.818180
73	123.750000	-81.818180
74	135.000000	-81.818180
75	146.250000	-81.818180
76	157.500000	-81.818180
77	168.750000	-81.818180
78	180.000000	-81.818180
79	191.250000	-81.818180
80	202.500000	-81.818180
81	213.750000	-81.818180
82	225.000000	-81.818180
83	236.250000	-81.818180
84	247.500000	-81.818180
85	258.750000	-81.818180
86	270.000000	-81.818180
87	281.250000	-81.818180
