ID	ra_center	dec_center
0	314.995000	-89.717100
1	357.150700	-85.788500
2	37.150700	-85.788500
3	77.150700	-85.788500
4	117.150700	-85.788500
5	157.150700	-85.788500
6	197.150700	-85.788500
7	237.150700	-85.788500
8	277.150700	-85.788500
9	317.150700	-85.788500
10	358.540800	-81.790900
11	22.540800	-81.790900
12	46.540800	-81.790900
13	70.540800	-81.790900
14	94.540800	-81.790900
15	118.540800	-81.790900
16	142.540800	-81.790900
17	166.540800	-81.790900
18	190.540800	-81.790900
19	214.540800	-81.790900
20	238.540800	-81.790900
21	262.540800	-81.790900
22	286.540800	-81.790900
23	310.540800	-81.790900
24	334.540800	-81.790900
25	359.019100	-77.792900
26	16.162000	-77.792900
27	33.304800	-77.792900
28	50.447700	-77.792900
29	67.590500	-77.792900
30	84.733400	-77.792900
31	101.876300	-77.792900
32	119.019100	-77.792900
33	136.162000	-77.792900
34	153.304800	-77.792900
35	170.447700	-77.792900
36	187.590500	-77.792900
37	204.733400	-77.792900
38	221.876300	-77.792900
39	239.019100	-77.792900
40	256.162000	-77.792900
41	273.304800	-77.792900
42	290.447700	-77.792900
43	307.590500	-77.792900
44	324.733400	-77.792900
45	341.876200	-77.792900
46	359.261800	-73.794300
47	12.595200	-73.794300
48	25.928500	-73.794300
49	39.261800	-73.794300
50	52.595200	-73.794300
51	65.928500	-73.794300
52	79.261800	-73.794300
53	92.595200	-73.794300
54	105.928500	-73.794300
55	119.261800	-73.794300
56	132.595200	-73.794300
57	145.928500	-73.794300
58	159.261800	-73.794300
59	172.595200	-73.794300
60	185.928500	-73.794300
61	199.261800	-73.794300
62	212.595200	-73.794300
63	225.928500	-73.794300
64	239.261800	-73.794300
65	252.595200	-73.794300
66	265.928500	-73.794300
67	279.261800	-73.794300
68	292.595200	-73.794300
69	305.928500	-73.794300
70	319.261800	-73.794300
71	332.595200	-73.794300
72	345.928500	-73.794300
73	359.408000	-69.795200
74	10.317000	-69.795200
75	21.226100	-69.795200
76	32.135200	-69.795200
77	43.044300	-69.795200
78	53.953400	-69.795200
79	64.862500	-69.795200
80	75.771600	-69.795200
81	86.680700	-69.795200
82	97.589800	-69.795200
83	108.498900	-69.795200
84	119.408000	-69.795200
85	130.317000	-69.795200
86	141.226100	-69.795200
87	152.135200	-69.795200
88	163.044300	-69.795200
89	173.953400	-69.795200
90	184.862500	-69.795200
91	195.771600	-69.795200
92	206.680700	-69.795200
93	217.589800	-69.795200
94	228.498900	-69.795200
95	239.408000	-69.795200
96	250.317000	-69.795200
97	261.226100	-69.795200
98	272.135200	-69.795200
99	283.044300	-69.795200
100	293.953400	-69.795200
101	304.862500	-69.795200
102	315.771600	-69.795200
103	326.680700	-69.795200
104	337.589800	-69.795200
105	348.498900	-69.795200
106	359.506300	-65.795900
107	8.737100	-65.795900
108	17.967900	-65.795900
109	27.198600	-65.795900
110	36.429400	-65.795900
111	45.660200	-65.795900
112	54.890900	-65.795900
113	64.121700	-65.795900
114	73.352500	-65.795900
115	82.583300	-65.795900
116	91.814000	-65.795900
117	101.044800	-65.795900
118	110.275600	-65.795900
119	119.506300	-65.795900
120	128.737100	-65.795900
121	137.967900	-65.795900
122	147.198600	-65.795900
123	156.429400	-65.795900
124	165.660200	-65.795900
125	174.890900	-65.795900
126	184.121700	-65.795900
127	193.352500	-65.795900
