ID	ra_center	dec_center
1	25.714300	-89.185840
2	77.142900	-89.185840
3	128.571400	-89.185840
4	180.000000	-89.185840
5	231.428600	-89.185840
6	282.857100	-89.185840
7	334.285700	-89.185840
8	0.000000	-87.557500
9	27.692300	-87.557500
10	55.384600	-87.557500
11	83.076900	-87.557500
12	110.769200	-87.557500
13	138.461500	-87.557500
14	166.153900	-87.557500
15	193.846200	-87.557500
16	221.538500	-87.557500
17	249.230800	-87.557500
18	276.923100	-87.557500
19	304.615400	-87.557500
20	332.307700	-87.557500
21	9.473700	-85.929170
22	28.421100	-85.929170
23	47.368400	-85.929170
24	66.315800	-85.929170
25	85.263200	-85.929170
26	104.210500	-85.929170
27	123.157900	-85.929170
28	142.105300	-85.929170
29	161.052600	-85.929170
30	180.000000	-85.929170
31	198.947400	-85.929170
32	217.894700	-85.929170
33	236.842100	-85.929170
34	255.789500	-85.929170
35	274.736800	-85.929170
36	293.684200	-85.929170
37	312.631600	-85.929170
38	331.578900	-85.929170
39	350.526300	-85.929170
40	0.000000	-84.300830
41	13.846200	-84.300830
42	27.692300	-84.300830
43	41.538500	-84.300830
44	55.384600	-84.300830
45	69.230800	-84.300830
46	83.076900	-84.300830
47	96.923100	-84.300830
48	110.769200	-84.300830
49	124.615400	-84.300830
50	138.461500	-84.300830
51	152.307700	-84.300830
52	166.153900	-84.300830
53	180.000000	-84.300830
54	193.846200	-84.300830
55	207.692300	-84.300830
56	221.538500	-84.300830
57	235.384600	-84.300830
58	249.230800	-84.300830
59	263.076900	-84.300830
60	276.923100	-84.300830
61	290.769200	-84.300830
62	304.615400	-84.300830
63	318.461500	-84.300830
64	332.307700	-84.300830
65	346.153900	-84.300830
66	5.625000	-82.672500
67	16.875000	-82.672500
68	28.125000	-82.672500
69	39.375000	-82.672500
70	50.625000	-82.672500
71	61.875000	-82.672500
72	73.125000	-82.672500
73	84.375000	-82.672500
74	95.625000	-82.672500
75	106.875000	-82.672500
76	118.125000	-82.672500
77	129.375000	-82.672500
78	140.625000	-82.672500
79	151.875000	-82.672500
80	163.125000	-82.672500
81	174.375000	-82.672500
82	185.625000	-82.672500
83	196.875000	-82.672500
84	208.125000	-82.672500
85	219.375000	-82.672500
86	230.625000	-82.672500
87	241.875000	-82.672500
88	253.125000	-82.672500
89	264.375000	-82.672500
90	275.625000	-82.672500
91	286.875000	-82.672500
92	298.125000	-82.672500
93	309.375000	-82.672500
94	320.625000	-82.672500
95	331.875000	-82.672500
96	343.125000	-82.672500
97	354.375000	-82.672500
98	0.000000	-81.044170
99	9.473700	-81.044170
100	18.947400	-81.044170
101	28.421100	-81.044170
102	37.894700	-81.044170
103	47.368400	-81.044170
104	56.842100	-81.044170
105	66.315800	-81.044170
106	75.789500	-81.044170
107	85.263200	-81.044170
108	94.736800	-81.044170
109	104.210500	-81.044170
110	113.684200	-81.044170
111	123.157900	-81.044170
112	132.631600	-81.044170
113	142.105300	-81.044170
114	151.578900	-81.044170
115	161.052600	-81.044170
116	170.526300	-81.044170
117	180.000000	-81.044170
118	189.473700	-81.044170
119	198.947400	-81.044170
120	208.421100	-81.044170
121	217.894700	-81.044170
122	227.368400	-81.044170
123	236.842100	-81.044170
124	246.315800	-81.044170
125	255.789500	-81.044170
126	265.263200	-81.044170
127	274.736800	-81.044170
128	284.210500	-81.044170
129	293.684200	-81.044170
130	303.157900	-81.044170
131	312.631600	-81.044170
132	322.105300	-81.044170
133	331.578900	-81.044170
134	341.052600	-81.044170
135	350.526300	-81.044170
136	4.090900	-79.415830
137	12.272700	-79.415830
138	20.454500	-79.415830
139	28.636400	-79.415830
140	36.818200	-79.415830
141	45.000000	-79.415830
142	53.181800	-79.415830
143	61.363600	-79.415830
144	69.545500	-79.415830
145	77.727300	-79.415830
146	85.909100	-79.415830
147	94.090900	-79.415830
148	102.272700	-79.415830
149	110.454500	-79.415830
150	118.636400	-79.415830
151	126.818200	-79.415830
152	135.000000	-79.415830
153	143.181800	-79.415830
154	151.363600	-79.415830
155	159.545500	-79.415830
156	167.727300	-79.415830
157	175.909100	-79.415830
158	184.090900	-79.415830
159	192.272700	-79.415830
160	200.454500	-79.415830
161	208.636400	-79.415830
162	216.818200	-79.415830
163	225.000000	-79.415830
164	233.181800	-79.415830
165	241.363600	-79.415830
166	249.545500	-79.415830
167	257.727300	-79.415830
168	265.909100	-79.415830
169	274.090900	-79.415830
170	282.272700	-79.415830
171	290.454500	-79.415830
172	298.636400	-79.415830
173	306.818200	-79.415830
174	315.000000	-79.415830
175	323.181800	-79.415830
176	331.363600	-79.415830
177	339.545400	-79.415830
178	347.727300	-79.415830
179	355.909100	-79.415830
180	0.000000	-77.787510
181	7.200000	-77.787510
182	14.400000	-77.787510
183	21.600000	-77.787510
184	28.800000	-77.787510
185	36.000000	-77.787510
186	43.200000	-77.787510
187	50.400000	-77.787510
188	57.600000	-77.787510
189	64.800000	-77.787510
190	72.000000	-77.787510
191	79.200000	-77.787510
192	86.400000	-77.787510
193	93.600000	-77.787510
194	100.800000	-77.787510
195	108.000000	-77.787510
196	115.200000	-77.787510
197	122.400000	-77.787510
198	129.600000	-77.787510
199	136.800000	-77.787510
200	144.000000	-77.787510
201	151.200000	-77.787510
202	158.400000	-77.787510
203	165.600000	-77.787510
204	172.800000	-77.787510
205	180.000000	-77.787510
206	187.200000	-77.787510
207	194.400000	-77.787510
208	201.600000	-77.787510
209	208.800000	-77.787510
210	216.000000	-77.787510
211	223.200000	-77.787510
